period,expected,difficult,superhuman,total,non_expected_share,mean_score
2025-01,0,0,0,0,0.000000,0.000
2025-02,1,0,0,1,0.000000,2.000
2025-03,0,0,0,0,0.000000,0.000
2025-04,0,1,0,1,1.000000,3.000
2025-05,1,0,0,1,0.000000,2.000
2025-06,0,0,0,0,0.000000,0.000
2025-07,0,0,0,0,0.000000,0.000
2025-08,0,2,0,2,1.000000,4.000
2025-09,2,4,0,6,0.666667,3.000
2025-10,0,0,2,2,1.000000,4.000
2025-11,0,4,2,6,1.000000,3.833
2025-12,1,1,0,2,0.500000,2.500
2026-01,0,0,0,0,0.000000,0.000
2026-02,2,2,0,4,0.500000,3.000
2026-03,1,3,2,6,0.833333,3.667
2026-04,2,1,6,9,0.777778,3.778
2026-05,2,8,15,25,0.920000,3.760
2026-06,0,1,0,1,1.000000,4.000
2026-07,8,26,25,59,0.864407,3.932
2026-08,53,83,24,160,0.668750,3.181
