period,expected,difficult,superhuman,incomplete,total,non_expected_share,mean_score
2023-11,0,0,0,1,1,0.000000,0.000
2023-12,0,0,0,0,0,0.000000,0.000
2024-01,0,0,0,0,0,0.000000,0.000
2024-02,0,0,0,0,0,0.000000,0.000
2024-03,0,0,0,0,0,0.000000,0.000
2024-04,0,0,0,0,0,0.000000,0.000
2024-05,0,0,0,0,0,0.000000,0.000
2024-06,0,0,0,0,0,0.000000,0.000
2024-07,0,0,0,0,0,0.000000,0.000
2024-08,0,0,0,0,0,0.000000,0.000
2024-09,0,0,0,0,0,0.000000,0.000
2024-10,0,0,0,0,0,0.000000,0.000
2024-11,0,0,0,0,0,0.000000,0.000
2024-12,0,0,0,0,0,0.000000,0.000
2025-01,0,0,0,0,0,0.000000,0.000
2025-02,0,0,0,1,1,0.000000,0.000
2025-03,0,0,0,0,0,0.000000,0.000
2025-04,0,1,0,0,1,1.000000,3.000
2025-05,0,0,0,1,1,0.000000,0.000
2025-06,0,0,0,0,0,0.000000,0.000
2025-07,0,0,0,0,0,0.000000,0.000
2025-08,0,2,0,0,2,1.000000,4.000
2025-09,0,1,0,5,6,0.166667,4.000
2025-10,0,0,1,2,3,0.333333,5.000
2025-11,0,2,2,2,6,0.666667,4.250
2025-12,0,0,0,2,2,0.000000,0.000
2026-01,0,0,0,1,1,0.000000,0.000
2026-02,0,0,0,4,4,0.000000,0.000
2026-03,0,1,1,4,6,0.333333,5.000
2026-04,0,0,4,9,13,0.307692,5.000
2026-05,0,1,5,21,27,0.222222,5.000
2026-06,0,1,0,3,4,0.250000,4.000
2026-07,0,15,17,48,80,0.400000,4.594
2026-08,0,29,17,754,800,0.057500,4.565
2026-09,0,0,0,1401,1401,0.000000,0.000
