period,total,expected,difficult,superhuman,unassessed,difficult_plus_share,backfill,date_uncertain,collection_unknown,assigned:Expected,candidate:Expected,assigned:Difficult,candidate:Difficult,assigned:Superhuman,candidate:Superhuman,candidate:unresolved
2025-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2025-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
2025-05,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
2025-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08,2,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0
2025-09,6,3,2,0,1,0.3333333333333333,0,0,6,0,3,2,0,0,0,1
2025-10,3,0,1,2,0,1,1,0,2,0,0,0,1,2,0,0
2025-11,6,1,2,2,1,0.6666666666666666,0,0,6,0,1,2,0,2,0,1
2025-12,2,1,0,0,1,0,0,0,2,0,1,0,0,0,0,1
2026-01,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2026-02,4,2,2,0,0,0.5,0,0,4,0,2,2,0,0,0,0
2026-03,6,2,1,2,1,0.5,0,0,6,0,2,1,0,2,0,1
2026-04,12,6,0,6,0,0.5,1,2,9,1,5,0,0,6,0,0
2026-05,26,2,9,15,0,0.9230769230769231,0,0,26,1,1,8,1,15,0,0
2026-06,4,0,4,0,0,1,0,3,1,0,0,4,0,0,0,0
2026-07,73,13,32,28,0,0.821917808219178,0,5,68,1,12,30,2,26,2,0
2026-08,790,433,245,46,66,0.36835443037974686,16,208,386,26,407,138,107,38,8,66
2026-09,301,181,90,7,23,0.3222591362126246,0,109,0,1,180,1,89,5,2,23
